Indicador,Nível_Territorial,Abertura_Territorial,Variável_de_abertura,Categoria,Variável_de_abertura_2,Categoria_2,2016,2017,2018
Taxa de analfabetismo (%),Unidade da Federação,Rondônia,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.6,7.2,6.5
Taxa de analfabetismo (%),Unidade da Federação,Rondônia,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,7.2,7.6,6.9
Taxa de analfabetismo (%),Unidade da Federação,Rondônia,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,8.4,8.9,8.3
Taxa de analfabetismo (%),Unidade da Federação,Rondônia,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,13.7,14,13.1
Taxa de analfabetismo (%),Unidade da Federação,Rondônia,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,28.5,29.7,27.5
Taxa de analfabetismo (%),Unidade da Federação,Acre,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,13.1,12.1,12.1
Taxa de analfabetismo (%),Unidade da Federação,Acre,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,14.4,13.3,13.2
Taxa de analfabetismo (%),Unidade da Federação,Acre,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,17.4,16.3,15.9
Taxa de analfabetismo (%),Unidade da Federação,Acre,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,25.4,23.9,23.4
Taxa de analfabetismo (%),Unidade da Federação,Acre,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,41.7,37,36.5
Taxa de analfabetismo (%),Unidade da Federação,Amazonas,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.9,6.1,5.8
Taxa de analfabetismo (%),Unidade da Federação,Amazonas,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,7.5,6.7,6.3
Taxa de analfabetismo (%),Unidade da Federação,Amazonas,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,9,8,7.6
Taxa de analfabetismo (%),Unidade da Federação,Amazonas,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,13.5,12.2,11.2
Taxa de analfabetismo (%),Unidade da Federação,Amazonas,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,22.3,20.4,19.9
Taxa de analfabetismo (%),Unidade da Federação,Roraima,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.6,6,6.0
